Atleta;Coaching; Performance
349;Diretto;80
350;Supporto;76
351;Motivazionale;85
352;Diretto;82
353;Supporto;70
354;Diretto;86
355;Motivazionale;89
356;Supporto;75
357;Motivazionale;84
358;Supporto;72
359;Diretto;77
360;Diretto;79
361;Supporto;76
362;Motivazionale;87
363;Diretto;81
364;Supporto;70
365;Diretto;82
366;Motivazionale;89
367;Supporto;75
368;Motivazionale;83
369;Supporto;71
370;Diretto;75
371;Diretto;76
372;Supporto;74
373;Motivazionale;86
374;Diretto;80
375;Supporto;69
376;Diretto;85
377;Motivazionale;88
378;Supporto;77
379;Motivazionale;82
380;Supporto;73
381;Diretto;78
382;Diretto;80
383;Supporto;76
384;Motivazionale;85
385;Diretto;82
386;Supporto;70
387;Diretto;86
388;Motivazionale;89
389;Supporto;75
390;Motivazionale;84
391;Supporto;72
392;Diretto;77
393;Diretto;79
394;Supporto;76
395;Motivazionale;87
396;Diretto;81
397;Supporto;70
398;Diretto;82
399;Motivazionale;89
400;Supporto;75
401;Motivazionale;83
402;Supporto;71
403;Diretto;75
404;Diretto;76
405;Supporto;74
406;Motivazionale;86
407;Diretto;80
408;Supporto;69
409;Diretto;85
410;Motivazionale;88
411;Supporto;77
412;Motivazionale;82
413;Supporto;73
414;Diretto;78
415;Diretto;80
416;Supporto;76
417;Motivazionale;85
418;Diretto;82
419;Supporto;70
420;Diretto;86
421;Motivazionale;89
422;Supporto;75
423;Motivazionale;84
424;Supporto;72
425;Diretto;77
426;Diretto;79
427;Supporto;76
428;Motivazionale;87
429;Diretto;81
430;Supporto;70
431;Diretto;82
432;Motivazionale;89
433;Supporto;75
434;Motivazionale;83
435;Supporto;71
436;Diretto;75
437;Diretto;76
438;Supporto;74
439;Motivazionale;86
440;Diretto;80
441;Supporto;69
442;Diretto;85
443;Motivazionale;88
444;Supporto;77
445;Motivazionale;82
446;Supporto;73
447;Diretto;78
448;Diretto;80
449;Supporto;76
450;Motivazionale;85
451;Diretto;82
452;Supporto;70
453;Diretto;86
454;Motivazionale;89
455;Supporto;75
456;Motivazionale;84
457;Supporto;72
458;Diretto;77
459;Diretto;79
460;Supporto;76
461;Motivazionale;87
462;Diretto;81
463;Supporto;70
464;Diretto;82
465;Motivazionale;89
466;Supporto;75
467;Motivazionale;83
468;Supporto;71
469;Diretto;75
470;Diretto;76
471;Supporto;74
472;Motivazionale;86
473;Diretto;80
474;Nessuna;69
475;Nessuna;85
476;Nessuna;88
477;Nessuna;77
478;Nessuna;82
479;Nessuna;73
480;Nessuna;78
481;Nessuna;80
482;Nessuna;76
483;Nessuna;85
484;Nessuna;82
485;Nessuna;70
486;Nessuna;86
487;Nessuna;89
488;Nessuna;75
489;Nessuna;84
490;Nessuna;72
491;Nessuna;77
492;Nessuna;79
493;Nessuna;76
494;Nessuna;87
495;Nessuna;81
496;Nessuna;70
497;Nessuna;82
498;Nessuna;89
499;Nessuna;75
500;Nessuna;83
501;Nessuna;71
502;Nessuna;75
503;Nessuna;76
504;Nessuna;74
505;Nessuna;86
506;Nessuna;80
507;Nessuna;69
508;Nessuna;85
509;Nessuna;88
510;Nessuna;77
511;Nessuna;82
512;Nessuna;73
513;Nessuna;78
514;Nessuna;80
515;Nessuna;76
516;Nessuna;85
517;Nessuna;82
518;Nessuna;70
519;Nessuna;86
520;Nessuna;89
521;Nessuna;75
522;Nessuna;84
523;Nessuna;72
524;Nessuna;77
525;Nessuna;79
526;Nessuna;76
527;Nessuna;87
528;Nessuna;81
529;Nessuna;70
530;Nessuna;82
531;Nessuna;89
532;Nessuna;75
533;Nessuna;83
534;Nessuna;71
535;Nessuna;75
536;Nessuna;76
537;Nessuna;74
538;Nessuna;86
539;Nessuna;80
540;Nessuna;69
541;Nessuna;85
542;Nessuna;88
543;Nessuna;77
544;Nessuna;82
545;Nessuna;73
546;Nessuna;78
547;Nessuna;80
548;Nessuna;76
549;Nessuna;85
550;Nessuna;82
551;Nessuna;70
552;Nessuna;86
553;Nessuna;89
554;Nessuna;75
555;Nessuna;84
556;Nessuna;72
557;Nessuna;77
558;Nessuna;79
559;Nessuna;76
560;Nessuna;87
561;Nessuna;81
562;Nessuna;70
563;Nessuna;82
564;Nessuna;89
565;Nessuna;75
566;Nessuna;83
567;Nessuna;71
568;Nessuna;75
569;Nessuna;76
570;Nessuna;74
571;Nessuna;86
572;Nessuna;80
573;Nessuna;69
574;Nessuna;85
575;Nessuna;88
576;Nessuna;77
577;Nessuna;82
578;Nessuna;73
579;Nessuna;78
580;Nessuna;80
581;Nessuna;76
582;Nessuna;85
583;Nessuna;82
584;Nessuna;70
585;Nessuna;86
586;Nessuna;89
587;Nessuna;75
588;Nessuna;84
589;Nessuna;72
590;Nessuna;77
591;Nessuna;79
592;Nessuna;76
593;Nessuna;87
594;Nessuna;81
595;Nessuna;70
596;Nessuna;82
597;Nessuna;89
598;Nessuna;75
599;Nessuna;83
600;Nessuna;71
601;Nessuna;75
602;Nessuna;76
603;Nessuna;74
604;Nessuna;86
605;Nessuna;80
606;Nessuna;69
607;Nessuna;85
608;Nessuna;88
609;Nessuna;77
610;Nessuna;82
611;Nessuna;73
612;Nessuna;78
613;Nessuna;80
614;Nessuna;76
615;Nessuna;85
616;Nessuna;82
617;Nessuna;70
618;Nessuna;86
619;Nessuna;89
620;Nessuna;75
621;Nessuna;84
622;Nessuna;72
623;Nessuna;77
624;Nessuna;79
625;Nessuna;76
626;Nessuna;87
627;Nessuna;81
628;Nessuna;70
629;Nessuna;82
630;Nessuna;89
